token	token_ids	count	POS
accepted	3970	22	['VERB']
and	1998	5793	['CCONJ']
as	2004	1605	['ADP']
be	2022	519	['AUX']
by	2011	1477	['ADP']
cameras	8629	1	['NOUN']
clinched	18311	1	['VERB']
clouds	8044	3	['NOUN']
comes	3310	10	['VERB']
differences	5966	9	['NOUN']
disguise	14249	1	['NOUN']
dockyard	24874	2	['PROPN', 'NOUN']
fall	2991	12	['NOUN', 'PROPN']
get	2131	35	['VERB']
giving	3228	14	['VERB']
grape	14722	1	['NOUN']
had	2018	765	['AUX']
his	2010	1179	['PRON']
hostility	18258	3	['NOUN']
immense	14269	4	['ADJ']
intended	3832	41	['VERB']
is	2003	1137	['AUX']
lack	3768	33	['NOUN']
lacking	11158	5	['VERB']
landowners	20152	1	['NOUN']
lumber	13891	2	['NOUN']
main	2364	74	['ADJ']
objectives	11100	1	['NOUN']
overcame	26463	1	['VERB']
perceptions	23271	2	['NOUN']
plaster	15673	1	['NOUN']
pleasure	5165	1	['NOUN']
prosecution	11537	4	['NOUN']
recruiting	14357	2	['VERB', 'NOUN']
refuge	9277	6	['NOUN']
salvation	12611	4	['NOUN']
serious	3809	15	['ADJ']
solve	9611	2	['VERB']
sources	4216	22	['NOUN']
string	5164	2	['NOUN']
suppressed	13712	2	['VERB']
symptoms	8030	1	['NOUN']
to	2000	4766	['ADP', 'PART']
tone	4309	10	['NOUN']
usd	13751	16	['NOUN']
was	2001	2575	['AUX']
weapons	4255	23	['NOUN']
weekend	5353	4	['NOUN']
which	2029	623	['PRON']
witness	7409	7	['NOUN']
